name,,,,location,,,state
Akash Group Of Institutions,,,,"Devanahalli, Bengaluru",,,Karnataka
Surya college of nursing,,,,"Bommenahalli, Bengaluru",,,Karnataka
Mathurshree group of institution,,,,Bengaluru,,,Karnataka
Kp ballal college of nursing,,,,Mangaluru,,,Karnataka
Christ University,,,,Bengaluru,,,Karnataka
Alliance University,,,,Bengaluru,,,Karnataka
Jain University,,,,Bengaluru,,,Karnataka
SJM Group Of Institutions,,,,Chitradurga,,,Karnataka
Yenepoya University,,,,"Deralakatte, Mangaluru",,,Karnataka
Nitte University,,,,"Deralakatte, Mangaluru",,,Karnataka
Indiana College Of Nursing,,,,Mangaluru,,,Karnataka
Garden City College,,,,Bengaluru,,,Karnataka
Reva University,,,,Bengaluru,,,Karnataka
Hillside Academy,,,,Bengaluru,,,Karnataka
T John College,,,,Bengaluru,,,Karnataka
Presidency University,,,,"Yelahanka, Bengaluru",,,Karnataka
East West College,,,,"Yelahanka, Bengaluru",,,Karnataka
Srinivas Group Of Institutions,,,,Mangaluru,,,Karnataka
Alva's Education Foundation,,,,Mangaluru,,,Karnataka
BGS Global Group Of Institutions,,,,Bengaluru,,,Karnataka
Oxford Educational Institutions,,,,"Bommenahalli, Bengaluru",,,Karnataka
New Horizon College of Engineering.,,,,"Marathahalli, Bengalurur",,,Karnataka
Sambhram Group Of institutions,,,,"Jalahalli east, Vidyaranyapura, Bengaluru",,,Karnataka
East Point Group Of Institutes,,,,Bengaluru,,,Karnataka
Brindavan College Of Engineering,,,,"Yelahanka, Bengaluru",,,Karnataka
Padmasree Group Of Institutions,,,,"Kengeri, Bengaluru",,,Karnataka
Hindustan Group Of Institutions,,,,"Marathahalli, Bengaluru",,,Karnataka
Dr. BR Ambedkar Medical College,,,,"Kadugondanahalli, Bengaluru",,,Karnataka
AJ Shetty Educational Institutions,,,,Mangaluru,,,Karnataka
Father Muller Charitable Institutions,,,,"Kankanady, Mangalore",,,Karnataka
Dr M.V Shetty Group Of Colleges,,,,Mangaluru,,,Karnataka
Kanachur Institute of Medical Sciences,,,,"Deralakatte, Mangalore",,,Karnataka
Karavali Group Of Colleges,,,,Mangaluru,,,Karnataka
Unity academy of education,,,,Mangaluru,,,Karnataka
Krupanidhi Colleges,,,,Bengaluru,,,Karnataka
Kristu Jayanti College,,,,Bengaluru,,,Karnataka
Vydehi Group Of Institutions,,,,"Nallurahalli, Bengaluru",,,Karnataka
ST. Joseph's College,,,,"Langford Gardens, Bengaluru",,,Karnataka
Acharya Group Of institutions,,,,"Soladevanahalli, Bengaluru",,,Karnataka
Rajarajeswari Medical/Dental College,,,,"Kumbalgodu, Bengaluru",,,Karnataka
MS Ramaiah Group Of Institutions,,,,Bengaluru,,,Karnataka
MVJ Group Of Institutions,,,,"Kadugodi, Bengaluru",,,Karnataka
Dayananda Sagar Institutions,,,,Bengaluru,,,Karnataka
SJES Group Of Institutions,,,,Bengaluru,,,Karnataka
JSS University ,,,,Mysore,,,Karnataka
KVG Institutions ,,,,"Kurunjibhag, Sullia, Dakshina Kannada",,,Karnataka
Raja Reddy Group Of Institutions,,,,"Chikkabanavara, Bangalore",,,Karnataka
Sri Siddhartha Group Of Institutions,,,,"Maralur, Tumakuru",,,Karnataka
KGF College of Dental Sciences & Hospital,,,,Kolar,,,Karnataka
Bangalore Institute of Dental Sciences & Hospital,,,,Bengaluru,,,Karnataka
Sapthagiri Institute of Medical Sciences & Research Centre,,,,"Chikkabanavara, Bengaluru",,,Karnataka
Shridevi Group of institutions,,,,Bengaluru,,,Karnataka
Shridevi Group of institutions,,,,Mangaluru,,,Karnataka
